layersize,mse
5,8.626422641100362e-05
6,8.989322668639943e-05
7,6.286676216404885e-05
8,6.997699529165402e-05
9,5.9102832892676815e-05
10,4.949703725287691e-05
11,4.098998033441603e-05
12,4.519867798080668e-05
13,3.783354623010382e-05
14,2.8192617062595673e-05
15,2.8107235266361386e-05
16,2.321774445590563e-05
17,2.244191819045227e-05
18,2.306638750975253e-05
19,2.292975181667134e-05
20,1.7329915863228962e-05
21,1.694394086371176e-05
22,1.466589037590893e-05
23,1.71921456058044e-05
24,1.7839578504208475e-05
