Lb/ry,h/tw,B/2t,h/B,tf/tw,E/Fy,Mp/Mcr,Mn/Mp (Formula),Mn/Mp (FEM)
45.84527221,41,41,41,1.718446602,208.279468,0.56513128,0.843662751,0.960436909
54.44126074,41,41,41,1.718446602,208.279468,0.777663086,0.76074395,0.876255102
65.9025788,41,41,41,1.718446602,208.279468,1.098379141,0.647926276,0.754739285
74.49856734,41,41,41,1.718446602,208.279468,1.361942907,0.570787719,0.616699993
85.95988539,41,41,41,1.718446602,208.279468,1.737478571,0.483206966,0.423959608
100.286533,41,41,41,1.718446602,208.279468,2.235912802,0.397766501,0.359990915
111.747851,41,41,41,1.718446602,208.279468,2.651034912,0.345224447,0.304060415
123.2091691,41,41,41,1.718446602,208.279468,3.076030394,0.303408023,0.276243206
131.8051576,41,41,41,1.718446602,208.279468,3.39928009,0.277534611,0.241553276
66.66666667,57.89230769,57.89230769,57.89230769,1.646153846,208.279468,1.206462462,0.614579486,0.654813433
75.36231884,57.89230769,57.89230769,57.89230769,1.646153846,208.279468,1.514001265,0.532433097,0.562516488
86.95652174,57.89230769,57.89230769,57.89230769,1.646153846,208.279468,1.963092213,0.440880806,0.444367495
101.4492754,57.89230769,57.89230769,57.89230769,1.646153846,208.279468,2.577427107,0.353580463,0.356307196
113.0434783,57.89230769,57.89230769,57.89230769,1.646153846,208.279468,3.103466638,0.301035755,0.305291816
124.6376812,57.89230769,57.89230769,57.89230769,1.646153846,208.279468,3.65408267,0.259940202,0.243827876
133.3333333,57.89230769,57.89230769,57.89230769,1.646153846,208.279468,4.080200565,0.234879351,0.226151807
31.83023873,26.76190476,26.76190476,26.76190476,1.80952381,208.279468,0.27937587,0.948079935,0.979378202
42.4403183,26.76190476,26.76190476,26.76190476,1.80952381,208.279468,0.469481422,0.880905826,1.03195496
50.39787798,26.76190476,26.76190476,26.76190476,1.80952381,208.279468,0.631282546,0.817593257,0.995317678
61.00795756,26.76190476,26.76190476,26.76190476,1.80952381,208.279468,0.864424586,0.728331941,0.867707097
68.96551724,26.76190476,26.76190476,26.76190476,1.80952381,208.279468,1.048019826,0.66429574,0.737176161
79.57559682,26.76190476,26.76190476,26.76190476,1.80952381,208.279468,1.29987956,0.587691639,0.70254931
92.83819629,26.76190476,26.76190476,26.76190476,1.80952381,208.279468,1.620776393,0.507920299,0.575561745
103.4482759,26.76190476,26.76190476,26.76190476,1.80952381,208.279468,1.879464507,0.455791378,0.457879002
114.0583554,26.76190476,26.76190476,26.76190476,1.80952381,208.279468,2.138405726,0.412275053,0.395356177
122.0159151,26.76190476,26.76190476,26.76190476,1.80952381,208.279468,2.332302006,0.38430852,0.361694508
50,40.14689266,40.14689266,40.14689266,1.774011299,208.279468,0.67968484,0.798587678,0.927818152
60.52631579,40.14689266,40.14689266,40.14689266,1.774011299,208.279468,0.960036155,0.694152382,0.82870599
68.42105263,40.14689266,40.14689266,40.14689266,1.774011299,208.279468,1.190443863,0.619368616,0.713786596
78.94736842,40.14689266,40.14689266,40.14689266,1.774011299,208.279468,1.518758949,0.531299944,0.575867885
92.10526316,40.14689266,40.14689266,40.14689266,1.774011299,208.279468,1.95455245,0.442363948,0.384465913
102.6315789,40.14689266,40.14689266,40.14689266,1.774011299,208.279468,2.317528293,0.386317093,0.357871639
