Lb,d,bf,tw,tf,bf/2tf,h/tw,Zx*10^3,Iy*10^6,ry,J*10^3,Cw*10^9,E*10^3,Fy,G*10^3,Mp,Mcr,Lb/ry,h/tw,B/2t,h/B,tf/tw,E/Fy,Mp/Mcr
3500,1140,409,31.0,55.1,3.71,35.0,32800,633,90.4,55800,186000,200,960,76.92,31488,77444.19,38.72,35.0,3.71,2.65,1.78,208.33,0.4065895452
8000,1140,409,31.0,55.1,3.71,35.0,32800,633,90.4,55800,186000,200,960,76.92,31488,18330.69,88.50,35.0,3.71,2.65,1.78,208.33,1.717775088
12000,1140,409,31.0,55.1,3.71,35.0,32800,633,90.4,55800,186000,200,960,76.92,31488,10093.65,132.74,35.0,3.71,2.65,1.78,208.33,3.119584725
16000,1140,409,31.0,55.1,3.71,35.0,32800,633,90.4,55800,186000,200,960,76.92,31488,6925.69,176.99,35.0,3.71,2.65,1.78,208.33,4.546547371
18000,1140,409,31.0,55.1,3.71,35.0,32800,633,90.4,55800,186000,200,960,76.92,31488,5992.20,199.12,35.0,3.71,2.65,1.78,208.33,5.254834828
20000,1140,409,31.0,55.1,3.71,35.0,32800,633,90.4,55800,186000,200,960,76.92,31488,5284.89,221.24,35.0,3.71,2.65,1.78,208.33,5.958122875
3500,1130,406,27.9,50.0,4.06,38.7,29500,562,89.9,41600,163000,200,960,76.92,28320,67669.53,38.93,38.7,4.06,2.66,1.79,208.33,0.4185044779
8000,1130,406,27.9,50.0,4.06,38.7,29500,562,89.9,41600,163000,200,960,76.92,28320,15643.91,88.99,38.7,4.06,2.66,1.79,208.33,1.810288631
12000,1130,406,27.9,50.0,4.06,38.7,29500,562,89.9,41600,163000,200,960,76.92,28320,8476.16,133.48,38.7,4.06,2.66,1.79,208.33,3.341136239
16000,1130,406,27.9,50.0,4.06,38.7,29500,562,89.9,41600,163000,200,960,76.92,28320,5757.03,177.98,38.7,4.06,2.66,1.79,208.33,4.91919969
18000,1130,406,27.9,50.0,4.06,38.7,29500,562,89.9,41600,163000,200,960,76.92,28320,4963.62,200.22,38.7,4.06,2.66,1.79,208.33,5.70551707
20000,1130,406,27.9,50.0,4.06,38.7,29500,562,89.9,41600,163000,200,960,76.92,28320,4365.59,222.47,38.7,4.06,2.66,1.79,208.33,6.487097898
3600,1120,404,26.2,44.9,4.50,41.0,26500,499,88.6,31100,144000,200,960,76.92,25440,56326.16,40.63,41.0,4.50,2.66,1.71,208.33,0.4516551206
8000,1120,404,26.2,44.9,4.50,41.0,26500,499,88.6,31100,144000,200,960,76.92,25440,13434.57,90.29,41.0,4.50,2.66,1.71,208.33,1.893621864
12000,1120,404,26.2,44.9,4.50,41.0,26500,499,88.6,31100,144000,200,960,76.92,25440,7159.12,135.44,41.0,4.50,2.66,1.71,208.33,3.553507249
16000,1120,404,26.2,44.9,4.50,41.0,26500,499,88.6,31100,144000,200,960,76.92,25440,4809.12,180.59,41.0,4.50,2.66,1.71,208.33,5.289951302
18000,1120,404,26.2,44.9,4.50,41.0,26500,499,88.6,31100,144000,200,960,76.92,25440,4130.12,203.16,41.0,4.50,2.66,1.71,208.33,6.159623729
20000,1120,404,26.2,44.9,4.50,41.0,26500,499,88.6,31100,144000,200,960,76.92,25440,3621.12,225.73,41.0,4.50,2.66,1.71,208.33,7.025450554
