Fy (ksi),Lb,bf,tf,tw,h0,ry,Mn(Modified),Mn(AISC code),Mn(FE model),Mp,b,Mcr
139.236,160,15.9,1.77,1.03,42.23,3.49,190298.5274,225562.32,216638.377325066,225562.32,15.9,399132.605081953
139.236,190,15.9,1.77,1.03,42.23,3.49,171595.1703,219030.340138757,197650.133746679,225562.32,15.9,290051.468296546
139.236,230,15.9,1.77,1.03,42.23,3.49,146147.7541,187966.043519871,170240.744021258,225562.32,15.9,205359.253149666
139.236,260,15.9,1.77,1.03,42.23,3.49,128748.2021,155913.110941776,139104.281133747,225562.32,15.9,165618.043829533
139.236,300,15.9,1.77,1.03,42.23,3.49,108993.2842,122477.537470133,95629.3126660762,225562.32,15.9,129821.641396282
139.236,350,15.9,1.77,1.03,42.23,3.49,89721.13489,95417.5994343812,81200.3859610275,225562.32,15.9,100881.536986459
139.236,390,15.9,1.77,1.03,42.23,3.49,77869.62715,80628.0972550223,68584.5726749336,225562.32,15.9,85084.6282745352
139.236,430,15.9,1.77,1.03,42.23,3.49,68437.41747,69608.4566639867,62310.0583702392,225562.32,15.9,73329.0283684475
139.236,460,15.9,1.77,1.03,42.23,3.49,62601.35081,63064.2649109755,54485.3172719221,225562.32,15.9,66355.9089151725
139.236,230,15.8,1.07,0.65,37.63,3.45,74361.71116,99155.1860045762,79229.8611603189,120996.084,15.8,100289.969894217
139.236,260,15.8,1.07,0.65,37.63,3.45,64422.31971,78973.6192149725,68062.2922054916,120996.084,15.8,79918.0864627137
139.236,300,15.8,1.07,0.65,37.63,3.45,53344.85106,60925.1380535245,53766.7267493357,120996.084,15.8,61635.4561405124
139.236,350,15.8,1.07,0.65,37.63,3.45,42781.85142,46421.1429637787,43111.7754650133,120996.084,15.8,46944.5221887934
139.236,390,15.8,1.07,0.65,37.63,3.45,36424.14752,38564.3975107477,36939.1142604074,120996.084,15.8,38987.3963890956
139.236,430,15.8,1.07,0.65,37.63,3.45,31451.74653,32762.9994708879,29502.2181133747,120996.084,15.8,33112.5743240657
139.236,460,15.8,1.07,0.65,37.63,3.45,28419.48167,29347.6819991445,27363.4829937998,120996.084,15.8,29654.4451866421
139.236,120,16.2,2.28,1.26,33.72,3.77,205930.6982,217208.16,212728.937112489,217208.16,16.2,777476.450574674
139.236,160,16.2,2.28,1.26,33.72,3.77,191339.9337,217208.16,224149.038086803,217208.16,16.2,462655.495879715
139.236,190,16.2,2.28,1.26,33.72,3.77,177587.927,217208.16,216191.121346324,217208.16,16.2,344074.39466607
139.236,230,16.2,2.28,1.26,33.72,3.77,158199.6407,217208.16,188473.062001772,217208.16,16.2,251274.852149105
139.236,260,16.2,2.28,1.26,33.72,3.77,144290.4554,217208.16,160120.677590788,217208.16,16.2,207255.773732908
